Nombre,Tipo,Estacion,Eficiencia_energetica,Capacidad_frenado_suelo_mojado,Ruido_ambiental_dB,Ruido_ambiental_ondas,Ancho,Perfil,Estructura,Diametro_Interior,Índice de Carga,Índice de Velocidad
Energy E-V,Electricos y compactos,Verano,A,A,70,2,195,55,R,16,91,Q
Energy E-V,Electricos y compactos,Verano,A,A,70,2,185,65,R,15,88,Q
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,205,55,R,16,91,W
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,205,55,R,16,91,V
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,205,55,R,16,94,H
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,205,60,R,16,96,V
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,205,60,R,16,92,W
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,205,60,R,16,92,H
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,205,65,R,16,95,V
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,195,50,R,15,82,T
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,195,55,R,15,85,V
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,185,55,R,15,82,H
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,205,60,R,15,91,V
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,205,60,R,15,91,H
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,195,60,R,15,88,V
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,195,60,R,15,88,T
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,195,60,R,15,88,H
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,195,60,R,15,88,V
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,185,60,R,15,84,T
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,215,65,R,15,96,H
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,205,65,R,15,94,V
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,195,65,R,15,91,V
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,185,65,R,15,88,T
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,175,65,R,15,84,H
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,165,65,R,15,81,T
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,185,55,R,14,80,H
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,185,60,R,14,82,H
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,185,65,R,14,86,T
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,175,65,R,14,82,T
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,165,65,R,14,79,T
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,195,70,R,14,91,T
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,185,70,R,14,88,T
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,175,70,R,14,84,T
Energy Saver+,Electricos y compactos,Verano,B,B,68,2,165,70,R,14,81,T
Primacy 4,"Electricos y compactos, Berlina, Sport, SUV Compacto, SUV Medio",Verano,B,B,68,1,225,40,R,18,92,Y
Primacy 4,"Electricos y compactos, Berlina, Sport, SUV Compacto, SUV Medio",Verano,B,B,68,1,255,45,R,18,99,Y
Primacy 4,"Electricos y compactos, Berlina, Sport, SUV Compacto, SUV Medio",Verano,B,B,68,1,245,45,R,18,100,W
Primacy 4,"Electricos y compactos, Berlina, Sport, SUV Compacto, SUV Medio",Verano,B,B,68,1,235,45,R,18,98,Y
Primacy 4,"Electricos y compactos, Berlina, Sport, SUV Compacto, SUV Medio",Verano,B,B,68,1,225,45,R,18,95,Y
Primacy 4,"Electricos y compactos, Berlina, Sport, SUV Compacto, SUV Medio",Verano,B,B,68,1,235,50,R,18,101,Y
Primacy 4,"Electricos y compactos, Berlina, Sport, SUV Compacto, SUV Medio",Verano,B,B,68,1,225,50,R,18,99,W
Primacy 4,"Electricos y compactos, Berlina, Sport, SUV Compacto, SUV Medio",Verano,B,B,68,1,235,55,R,18,100,V
Primacy 4,"Electricos y compactos, Berlina, Sport, SUV Compacto, SUV Medio",Verano,B,B,68,1,225,55,R,18,102,Y
Primacy 4,"Electricos y compactos, Berlina, Sport, SUV Compacto, SUV Medio",Verano,B,B,68,1,215,55,R,18,99,V
Primacy 4,"Electricos y compactos, Berlina, Sport, SUV Compacto, SUV Medio",Verano,B,B,68,1,245,45,R,17,99,Y
